id,class,petal length,petal width,sepal length,sepal width,outlier
1,Iris-setosa,86.4,70.0,20.1,30.5,True
2,Iris-setosa,1.4,0.2,4.9,3.0,False
3,Iris-setosa,1.3,0.2,4.7,3.2,False
4,Iris-setosa,1.5,0.2,4.6,3.1,False
5,Iris-setosa,1.4,0.2,5.0,3.6,False
6,Iris-setosa,1.7,0.4,5.4,3.9,False
7,Iris-setosa,1.4,0.3,4.6,3.4,False
8,Iris-setosa,1.5,0.2,5.0,3.4,False
9,Iris-setosa,1.4,0.2,4.4,2.9,False
10,Iris-setosa,1.5,0.1,4.9,3.1,False
11,Iris-setosa,1.5,0.2,5.4,3.7,False
12,Iris-setosa,1.6,0.2,4.8,3.4,False
13,Iris-setosa,1.4,0.1,4.8,3.0,False
14,Iris-setosa,1.1,0.1,4.3,3.0,False
15,Iris-setosa,1.2,0.2,5.8,4.0,False
16,Iris-setosa,1.5,0.4,5.7,4.4,False
17,Iris-setosa,1.3,0.4,5.4,3.9,False
18,Iris-setosa,1.4,0.3,5.1,3.5,False
19,Iris-setosa,1.7,0.3,5.7,3.8,False
20,Iris-setosa,1.5,0.3,5.1,3.8,False
21,Iris-setosa,1.7,0.2,5.4,3.4,False
22,Iris-setosa,1.5,0.4,5.1,3.7,False
23,Iris-setosa,1.0,0.2,4.6,3.6,False
24,Iris-setosa,1.7,0.5,5.1,3.3,False
25,Iris-setosa,1.9,0.2,4.8,3.4,False
26,Iris-setosa,1.6,0.2,5.0,3.0,False
27,Iris-setosa,1.6,0.4,5.0,3.4,False
28,Iris-setosa,1.5,0.2,5.2,3.5,False
29,Iris-setosa,1.4,0.2,5.2,3.4,False
30,Iris-setosa,1.6,0.2,4.7,3.2,False
31,Iris-setosa,1.6,0.2,4.8,3.1,False
32,Iris-setosa,1.5,0.4,5.4,3.4,False
33,Iris-setosa,1.5,0.1,5.2,4.1,False
34,Iris-setosa,1.4,0.2,5.5,4.2,False
35,Iris-setosa,1.5,0.1,4.9,3.1,False
36,Iris-setosa,1.2,0.2,5.0,3.2,False
37,Iris-setosa,1.3,0.2,5.5,3.5,False
38,Iris-setosa,1.5,0.1,4.9,3.1,False
39,Iris-setosa,1.3,0.2,4.4,3.0,False
40,Iris-setosa,1.5,0.2,5.1,3.4,False
41,Iris-setosa,1.3,0.3,5.0,3.5,False
42,Iris-setosa,1.3,0.3,4.5,2.3,False
43,Iris-setosa,1.3,0.2,4.4,3.2,False
44,Iris-setosa,1.6,0.6,5.0,3.5,False
45,Iris-setosa,1.9,0.4,5.1,3.8,False
46,Iris-setosa,1.4,0.3,4.8,3.0,False
47,Iris-setosa,1.6,0.2,5.1,3.8,False
48,Iris-setosa,1.4,0.2,4.6,3.2,False
49,Iris-setosa,1.5,0.2,5.3,3.7,False
50,Iris-setosa,1.4,0.2,5.0,3.3,False
51,Iris-versicolor,4.7,1.4,7.0,3.2,False
52,Iris-versicolor,4.5,1.5,6.4,3.2,False
53,Iris-versicolor,4.9,1.5,6.9,3.1,False
54,Iris-versicolor,4.0,1.3,5.5,2.3,False
55,Iris-versicolor,4.6,1.5,6.5,2.8,False
56,Iris-versicolor,4.5,1.3,5.7,2.8,False
57,Iris-versicolor,4.7,1.6,6.3,3.3,False
58,Iris-versicolor,3.3,1.0,4.9,2.4,False
59,Iris-versicolor,4.6,1.3,6.6,2.9,False
60,Iris-versicolor,3.9,1.4,5.2,2.7,False
61,Iris-versicolor,3.5,1.0,5.0,2.0,False
62,Iris-versicolor,4.2,1.5,5.9,3.0,False
63,Iris-versicolor,4.0,1.0,6.0,2.2,False
64,Iris-versicolor,4.7,1.4,6.1,2.9,False
65,Iris-versicolor,3.6,1.3,5.6,2.9,False
66,Iris-versicolor,4.4,1.4,6.7,3.1,False
67,Iris-versicolor,4.5,1.5,5.6,3.0,False
68,Iris-versicolor,4.1,1.0,5.8,2.7,False
69,Iris-versicolor,4.5,1.5,6.2,2.2,False
70,Iris-versicolor,3.9,1.1,5.6,2.5,False
71,Iris-versicolor,4.8,1.8,5.9,3.2,False
72,Iris-versicolor,4.0,1.3,6.1,2.8,False
73,Iris-versicolor,4.9,1.5,6.3,2.5,False
74,Iris-versicolor,4.7,1.2,6.1,2.8,False
75,Iris-versicolor,4.3,1.3,6.4,2.9,False
76,Iris-versicolor,4.4,1.4,6.6,3.0,False
77,Iris-versicolor,4.8,1.4,6.8,2.8,False
78,Iris-versicolor,5.0,1.7,6.7,3.0,False
79,Iris-versicolor,4.5,1.5,6.0,2.9,False
80,Iris-versicolor,3.5,1.0,5.7,2.6,False
81,Iris-versicolor,3.8,1.1,5.5,2.4,False
82,Iris-versicolor,3.7,1.0,5.5,2.4,False
83,Iris-versicolor,3.9,1.2,5.8,2.7,False
84,Iris-versicolor,5.1,1.6,6.0,2.7,False
85,Iris-versicolor,4.5,1.5,5.4,3.0,False
86,Iris-versicolor,4.5,1.6,6.0,3.4,False
87,Iris-versicolor,4.7,1.5,6.7,3.1,False
88,Iris-versicolor,4.4,1.3,6.3,2.3,False
89,Iris-versicolor,4.1,1.3,5.6,3.0,False
90,Iris-versicolor,4.0,1.3,5.5,2.5,False
91,Iris-versicolor,4.4,1.2,5.5,2.6,False
92,Iris-versicolor,4.6,1.4,6.1,3.0,False
93,Iris-versicolor,4.0,1.2,5.8,2.6,False
94,Iris-versicolor,3.3,1.0,5.0,2.3,False
95,Iris-versicolor,4.2,1.3,5.6,2.7,False
96,Iris-versicolor,4.2,1.2,5.7,3.0,False
97,Iris-versicolor,4.2,1.3,5.7,2.9,False
98,Iris-versicolor,4.3,1.3,6.2,2.9,False
99,Iris-versicolor,3.0,1.1,5.1,2.5,False
100,Iris-versicolor,4.1,1.3,5.7,2.8,False
101,Iris-virginica,6.0,2.5,6.3,3.3,False
102,Iris-virginica,5.1,1.9,5.8,2.7,False
103,Iris-virginica,5.9,2.1,7.1,3.0,False
104,Iris-virginica,5.6,1.8,6.3,2.9,False
105,Iris-virginica,5.8,2.2,6.5,3.0,False
106,Iris-virginica,6.6,2.1,7.6,3.0,False
107,Iris-virginica,4.5,1.7,4.9,2.5,True
108,Iris-virginica,6.3,1.8,7.3,2.9,False
109,Iris-virginica,5.8,1.8,6.7,2.5,False
110,Iris-virginica,6.1,2.5,7.2,3.6,False
111,Iris-virginica,5.1,2.0,6.5,3.2,False
112,Iris-virginica,5.3,1.9,6.4,2.7,False
113,Iris-virginica,5.5,2.1,6.8,3.0,False
114,Iris-virginica,5.0,2.0,5.7,2.5,False
115,Iris-virginica,5.1,2.4,5.8,2.8,False
116,Iris-virginica,5.3,2.3,6.4,3.2,False
117,Iris-virginica,5.5,1.8,6.5,3.0,False
118,Iris-virginica,6.7,2.2,7.7,3.8,False
119,Iris-virginica,6.9,2.3,7.7,2.6,False
120,Iris-virginica,5.0,1.5,6.0,2.2,False
121,Iris-virginica,5.7,2.3,6.9,3.2,False
122,Iris-virginica,4.9,2.0,5.6,2.8,False
123,Iris-virginica,6.7,2.0,7.7,2.8,False
124,Iris-virginica,4.9,1.8,6.3,2.7,False
125,Iris-virginica,5.7,2.1,6.7,3.3,False
126,Iris-virginica,6.0,1.8,7.2,3.2,False
127,Iris-virginica,4.8,1.8,6.2,2.8,False
128,Iris-virginica,4.9,1.8,6.1,3.0,False
129,Iris-virginica,5.6,2.1,6.4,2.8,False
130,Iris-virginica,5.8,1.6,7.2,3.0,False
131,Iris-virginica,6.1,1.9,7.4,2.8,False
132,Iris-virginica,6.4,2.0,7.9,3.8,False
133,Iris-virginica,5.6,2.2,6.4,2.8,False
134,Iris-virginica,5.1,1.5,6.3,2.8,False
135,Iris-virginica,5.6,1.4,6.1,2.6,False
136,Iris-virginica,6.1,2.3,7.7,3.0,False
137,Iris-virginica,5.6,2.4,6.3,3.4,False
138,Iris-virginica,5.5,1.8,6.4,3.1,False
139,Iris-virginica,4.8,1.8,6.0,3.0,False
140,Iris-virginica,5.4,2.1,6.9,3.1,False
141,Iris-virginica,5.6,2.4,6.7,3.1,False
142,Iris-virginica,5.1,2.3,6.9,3.1,False
143,Iris-virginica,5.1,1.9,5.8,2.7,False
144,Iris-virginica,5.9,2.3,6.8,3.2,False
145,Iris-virginica,5.7,2.5,6.7,3.3,False
146,Iris-virginica,5.2,2.3,6.7,3.0,False
147,Iris-virginica,5.0,1.9,6.3,2.5,False
148,Iris-virginica,5.2,2.0,6.5,3.0,False
149,Iris-virginica,5.4,2.3,6.2,3.4,False
150,Iris-virginica,5.1,1.8,5.9,3.0,False
