id,class,petal length,petal width,sepal length,sepal width,cluster
1,Iris-setosa,1.4,0.2,5.1,3.5,2
2,Iris-setosa,1.4,0.2,4.9,3.0,2
3,Iris-setosa,1.3,0.2,4.7,3.2,2
4,Iris-setosa,1.5,0.2,4.6,3.1,2
5,Iris-setosa,1.4,0.2,5.0,3.6,2
6,Iris-setosa,1.7,0.4,5.4,3.9,2
7,Iris-setosa,1.4,0.3,4.6,3.4,2
8,Iris-setosa,1.5,0.2,5.0,3.4,2
9,Iris-setosa,1.4,0.2,4.4,2.9,2
10,Iris-setosa,1.5,0.1,4.9,3.1,2
11,Iris-setosa,1.5,0.2,5.4,3.7,2
12,Iris-setosa,1.6,0.2,4.8,3.4,2
13,Iris-setosa,1.4,0.1,4.8,3.0,2
14,Iris-setosa,1.1,0.1,4.3,3.0,2
15,Iris-setosa,1.2,0.2,5.8,4.0,2
16,Iris-setosa,1.5,0.4,5.7,4.4,2
17,Iris-setosa,1.3,0.4,5.4,3.9,2
18,Iris-setosa,1.4,0.3,5.1,3.5,2
19,Iris-setosa,1.7,0.3,5.7,3.8,2
20,Iris-setosa,1.5,0.3,5.1,3.8,2
21,Iris-setosa,1.7,0.2,5.4,3.4,2
22,Iris-setosa,1.5,0.4,5.1,3.7,2
23,Iris-setosa,1.0,0.2,4.6,3.6,2
24,Iris-setosa,1.7,0.5,5.1,3.3,2
25,Iris-setosa,1.9,0.2,4.8,3.4,2
26,Iris-setosa,1.6,0.2,5.0,3.0,2
27,Iris-setosa,1.6,0.4,5.0,3.4,2
28,Iris-setosa,1.5,0.2,5.2,3.5,2
29,Iris-setosa,1.4,0.2,5.2,3.4,2
30,Iris-setosa,1.6,0.2,4.7,3.2,2
31,Iris-setosa,1.6,0.2,4.8,3.1,2
32,Iris-setosa,1.5,0.4,5.4,3.4,2
33,Iris-setosa,1.5,0.1,5.2,4.1,2
34,Iris-setosa,1.4,0.2,5.5,4.2,2
35,Iris-setosa,1.5,0.1,4.9,3.1,2
36,Iris-setosa,1.2,0.2,5.0,3.2,2
37,Iris-setosa,1.3,0.2,5.5,3.5,2
38,Iris-setosa,1.5,0.1,4.9,3.1,2
39,Iris-setosa,1.3,0.2,4.4,3.0,2
40,Iris-setosa,1.5,0.2,5.1,3.4,2
41,Iris-setosa,1.3,0.3,5.0,3.5,2
42,Iris-setosa,1.3,0.3,4.5,2.3,2
43,Iris-setosa,1.3,0.2,4.4,3.2,2
44,Iris-setosa,1.6,0.6,5.0,3.5,2
45,Iris-setosa,1.9,0.4,5.1,3.8,2
46,Iris-setosa,1.4,0.3,4.8,3.0,2
47,Iris-setosa,1.6,0.2,5.1,3.8,2
48,Iris-setosa,1.4,0.2,4.6,3.2,2
